,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
1376,L and T Emerald Isle ,210 Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,986,19979,21,2,2,197,231764.7059
1377,Unnamed Property,Middle Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150,7217,4,2,2,83,97647.05882
1378,Gurukrupa Aramus Complex ,Ulwe Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1199,7172,4,2,2,86,101176.4706
1379,Pratik Regalia ,Ulwe Sector 21 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1107,6639,3,2,2,73.5,86470.58824
1380,Yogsiddhi Sumukh Hills ,703 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,620,26612,7,2,2,165,194117.6471
1381,Raunak Unnathi Woods Phase 6 ,Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,989,8594,5,2,2,85,100000
1382,Prasham Vishal 2 ,602 Borivali West Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,904,33738,6,3,3,305,358823.5294
1383,Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,500,14400,5,1,1,72,84705.88235
1384,Vijay Park ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,10+ Year,Ready To Move,Super Built Up Area,600,8083,3,1,1,48.5,57058.82353
1385,Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1750,25645,39,3,3,318,374117.6471
1386,Haware Tiara ,Sector 13 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1550,10967,11,3,3,170,200000
1387,Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1200,7666,4,2,2,92,108235.2941
1388,Sai Ashirwad ,Mira Road Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,360,10138,0,1,1,36.5,42941.17647
1389,Advance Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1130,8849,13,2,2,100,117647.0588
1390,Unnamed Property,Ghotkamp Koyana Vele Navi Mumbai Mumbai,Koyana Vele Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,600,7500,2,2,2,45,52941.17647
1391,Siddhivinayak Garima ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,400,8000,2,1,2,32,37647.05882
1392,Unnamed Property,Juhu Mumbai South West Mumbai,Juhu Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500,30000,5,3,3,450,529411.7647
1393,Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,420,8571,10,1,1,36,42352.94118
1394,Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,421,8313,11,1,1,35,41176.47059
1395,Paradise Sai Riverdale ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1115,7174,3,2,2,80,94117.64706
1396,Baline Residency ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1020,7352,3,2,2,75,88235.29412
1397,Baline Residency ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150,6521,2,2,2,75,88235.29412
1398,Unnamed Property,Dahisar West Mumbai,Dahisar Mumbai,1 to 5 Year,Ready To Move,Carpet Area,536,27238,1,2,2,146,171764.7059
1399,Unnamed Property,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,565,28672,13,2,2,162,190588.2353
1400,Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,450,23333,2,1,1,105,123529.4118
1401,Unnamed Property,Vazira Mumbai,Vazira Mumbai,5 to 10 Year,Ready To Move,Carpet Area,400,27500,6,1,1,110,129411.7647
1402,Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,734,26566,19,2,3,195,229411.7647
1403,Omkar Vive ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,409,25672,2,1,1,105,123529.4118
1404,Ventures Residency ,123 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1230,7317,11,2,2,90,105882.3529
1405,Bhoomi Park ,302 Jankalyan Nagar Mumbai,Malad Mumbai,10+ Year,Ready To Move,Super Built Up Area,625,14080,3,1,2,88,103529.4118
1406,Silicon Park ,1401 Jankalyan Nagar Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700,12857,14,1,2,90,105882.3529
1407,Gurukrupa Marina Enclave ,1301 Malad West Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,452,23230,13,1,2,105,123529.4118
1408,Gurukrupa Marina Enclave ,1202 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,638,22257,12,2,2,142,167058.8235
1409,Gurukrupa Marina Enclave ,1201 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,635,22204,12,2,2,141,165882.3529
1410,Gurukrupa Marina Enclave ,1203 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,635,24409,12,2,2,155,182352.9412
1411,Gurukrupa Marina Enclave ,1204 Malad West Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,838,24105,12,3,3,202,237647.0588
1412,Bhoomi Park ,901 Jankalyan Nagar Mumbai,Malad Mumbai,10+ Year,Ready To Move,Super Built Up Area,1200,15416,9,3,3,185,217647.0588
1413,Tricity Symphony ,Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1080,8333,5,2,2,90,105882.3529
1414,Royal Oasis ,1302 Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,669,21001,13,2,2,141,165882.3529
1415,Royal Oasis ,902 Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,600,22500,9,2,2,135,158823.5294
1416,Royal Oasis ,805 Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,600,23333,8,2,2,140,164705.8824
1417,Ahuja Sea Shell Apartment ,Sector 8 Charkop Mumbai,Charkop Mumbai,10+ Year,Ready To Move,Carpet Area,675,18962,2,2,2,128,150588.2353
1418,Sunteck City Avenue 1 ,1903 Goregaon West Mumbai,Goregaon Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,19916,19,2,2,239,281176.4706
1419,Yashwant Arcade CHS ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,650,14769,2,2,2,96,112941.1765
1420,Triveni Laurel ,1652 Gauripada Mumbai Beyond Thane Mumbai,Gauripada Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1156,9083,15,2,2,105,123529.4118
1421,Unnamed Property,6542 Khadakpada Mumbai Beyond Thane Mumbai,Khadakpada Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1545,7896,9,3,3,122,143529.4118
1422,Kings Court by TCJ Realty ,1235 Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1170,7008,3,2,2,82,96470.58824
1423,Tharwani Riverdale ,2356 Khadakpada Mumbai Beyond Thane Mumbai,Khadakpada Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1130,6637,2,2,2,75,88235.29412
1424,Mohan Highlands ,Katrap Mumbai Beyond Thane Mumbai,Katrap Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1330,4511,3,3,3,60,70588.23529
1425,Unnamed Property,secter 7 koparkhairne Navi Mumbai Mumbai,Koparkhairne Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10476,0,2,2,110,129411.7647
1426,Deep Manohar Shreeji Nirvana ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,800,4625,1,2,2,37,43529.41176
1427,Satyam Paradise ,Katrap Mumbai Beyond Thane Mumbai,Katrap Mumbai,5 to 10 Year,Ready To Move,Built Up Area,875,4228,6,2,2,37,43529.41176
1428,Unnamed Property,1234 Tilak chowk Mumbai Beyond Thane Mumbai,Tilak Chowk Mumbai,1 to 5 Year,Ready To Move,Built Up Area,925,10270,6,2,2,95,111764.7059
1429,Unnamed Property,4532 Adharwadi Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,10+ Year,Ready To Move,Built Up Area,3000,5733,14,4,4,172,202352.9412
1430,Unnamed Property,Vile Parle East Mumbai South West Mumbai,Vile Parle Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1253,32162,10,3,3,403,474117.6471
1431,Maghnani Euphoria ,Near New Daily Mart Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,703,7611,1,1,2,53.5,62941.17647
1432,Unnamed Property,Near Ramseth Thakur Sports Complex Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000,7000,2,2,2,70,82352.94118
1433,Lodha Aurum Grande ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,795,26415,33,2,2,210,247058.8235
1434,Arkade Earth ,Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1122,17647,19,2,2,198,232941.1765
1435,Kanakia Hollywood ,Versova Mumbai,Versova Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1550,46774,15,4,4,725,852941.1765
1436,Unnamed Property,Bandra East Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,380,27631,3,1,1,105,123529.4118
1437,Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Carpet Area,850,14117,7,2,3,120,141176.4706
1438,Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,625,9600,1,1,2,60,70588.23529
1439,Cosmos Park ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Carpet Area,580,14655,4,2,2,85,100000
1440,Evershine Avenue ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,980,4285,1,2,2,42,49411.76471
1441,Agarwal Solitaire ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,625,5365,6,1,2,33,38823.52941
1442,Vishwa Hans ,602 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,822,14233,8,2,2,117,137647.0588
1443,Vijay Vilas ,kavesar Thane Mumbai,Kavesar Thane,5 to 10 Year,Ready To Move,Super Built Up Area,935,9411,7,2,2,88,103529.4118
1444,Unnamed Property,501 Bhandup Village Road Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,540,15740,5,1,2,85,100000
1445,Unnamed Property,Bhandup East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,435,18390,6,1,1,80,94117.64706
1446,Orovia Phase 1 ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,0 to 1 Year,Ready To Move,Carpet Area,880,15340,15,3,3,135,158823.5294
1447,Trishul Symphony ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2000,8700,12,3,3,174,204705.8824
1448,Rachna Mangala Residency ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1250,6400,16,2,2,80,94117.64706
1449,Unnamed Property,Dombivli West Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Built Up Area,960,8645,5,2,2,83,97647.05882
1450,Agarwal Lifestyle ,603 Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,710,4987,6,1,2,35.4,41647.05882
1451,Bhairaav Gold Crest Residency ,102 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,693,12987,10,1,1,90,105882.3529
1452,Mahavir Kanti Pride ,Vasai East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,370,10810,2,1,1,40,47058.82353
1453,Unnamed Property,Pokhran 2 Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,400,18000,4,1,1,72,84705.88235
1454,Goodwill Gardens ,Sector 8 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,950,11052,1,2,2,105,123529.4118
1455,Siddharth Geetanjali Sujay ,002 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,2400,14125,6,6,6,339,398823.5294
1456,Siddharth Geetanjali Sujay ,001 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615,15130,9,3,3,174,204705.8824
1457,B Chopda Oval Apartments ,000 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1630,10490,9,3,3,171,201176.4706
1458,B Chopda Oval Apartments ,000 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,3200,10281,28,6,6,329,387058.8235
1459,DSS Mahavir Classik ,Mahavir Classik Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,850,15883,8,1,2,135,158823.5294
1460,DSS Mahavir Classik ,Flat No 701 And 702 C Wing Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500,18334,7,4,4,295,347058.8235
1461,Swaraj Symphony ,Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,640,8125,1,1,1,52,61176.47059
1462,Prachi Residency ,304 Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Carpet Area,480,6875,3,2,2,33,38823.52941
1463,Wadhawa The Nest ,111 DN Nagar Mumbai,Dn Nagar,0 to 1 Year,Ready To Move,Carpet Area,1330,39849,2,3,4,530,623529.4118
1464,Lodha Fiorenza ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,887,33483,18,2,2,297,349411.7647
1465,Raj Shreeji Iconic ,Near Panvel Highway Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,575,4608,3,1,1,26.5,31176.47059
1466,Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,957,29153,21,2,2,279,328235.2941
1467,Panvelkar Estate ,003 Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,575,3086,0,1,1,17.8,20941.17647
1468,Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Carpet Area,956,30020,31,2,2,287,337647.0588
1469,Lodha New Cuffe Parade ,008 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395,19713,26,2,2,275,323529.4118
1470,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1400,8857,9,3,3,124,145882.3529
1471,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,7126,7,2,2,63.5,74705.88235
1472,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,6930,3,2,2,61.8,72705.88235
1473,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,6228,10,2,2,55.5,65294.11765
1474,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1678,7508,32,4,4,126,148235.2941
1475,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,891,7239,14,2,2,64.5,75882.35294
1476,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1690,5147,19,3,3,87,102352.9412
1477,Unnamed Property,Chikuwadi Mumbai,Chikuwadi Mumbai,10+ Year,Ready To Move,Carpet Area,600,25833,7,2,2,155,182352.9412
1478,Unnamed Property,001 Shirgaon Mumbai Beyond Thane Mumbai,Shirgaon Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,600,3500,0,1,1,21,24705.88235
1479,Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1570,12738,3,3,3,200,235294.1176
1480,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,890,11797,14,2,2,105,123529.4118
1481,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1000,10700,9,2,2,107,125882.3529
1482,Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1570,12101,7,3,3,190,223529.4118
1483,SD Alpine ,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,898,30623,2,3,2,275,323529.4118
1484,Ajmera New Era ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,711,7735,11,1,2,55,64705.88235
1485,Raj Tulsi City ,Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,615,3577,4,1,1,22,25882.35294
1486,SD Epsilon Tower ,W E Highway kandivali East Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Super Built Up Area,1280,18750,29,2,2,240,282352.9412
1487,SD Epsilon Tower ,W E Highway kandivali East Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Super Built Up Area,1050,20000,29,2,2,210,247058.8235
1488,Marathon Galaxy ,Moti Nagar Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,900,31666,3,3,3,285,335294.1176
1489,Runwal Greens ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1240,23387,31,3,3,290,341176.4706
1490,Nirmal Lifestyle Residency CHS ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,850,21764,14,2,2,185,217647.0588
1491,Runwal Greens ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,1382,21345,37,3,3,295,347058.8235
1492,L and T Crescent Bay ,Parel South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1402,38018,20,2,2,330,388235.2941
1493,Kalpataru Sunrise ,1111 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1200,11666,25,2,2,140,164705.8824
1494,Unnamed Property,3333 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,850,8823,23,1,2,75,88235.29412
1495,Siddhi Highland Gardens ,1111 Dhokali Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,710,10845,3,1,2,77,90588.23529
1496,Unnamed Property,2222 Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1850,9729,20,4,3,180,211764.7059
1497,Everest World Aspen ,222 Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1050,10952,11,2,2,115,135294.1176
1498,Sheth Avalon ,A 110 Laxmi Nagar Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1299,13163,14,2,2,171,201176.4706
1499,Omkar Alta Monte ,Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,920,26086,20,2,2,240,282352.9412
1500,Ashar Sapphire And Galleria ,1111 Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250,24210,26,3,3,230,270588.2353
1501,Unnamed Property,1111 Kolshet Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1450,12068,15,3,2,175,205882.3529
1502,Lodha Luxuria ,Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1220,11065,22,2,2,135,158823.5294
1503,Veena Senterio ,Chembur East Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,440,26363,12,1,2,116,136470.5882
1504,Neelkanth Greens ,2 5bhk Very Luxurious Property For Sell Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1300,14615,19,3,2,190,223529.4118
1505,Unnamed Property,Powai Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,777,43758,7,2,2,340,400000
1506,Unnamed Property,2bhk Very Spacious Flat Available For Sell Close Viviana Mall khopat Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,1040,12500,9,2,2,130,152941.1765
1507,Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1201,47044,18,3,3,565,664705.8824
1508,Gala Pride Presidency Luxuria ,Kailash Nagar Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,760,11052,18,1,1,84,98823.52941
1509,Runwal Eirene ,1bhk Very Spacious New Brand Property Available For Sell Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Super Built Up Area,665,11278,9,1,2,75,88235.29412
1510,Oberoi Exquisite ,Oberoi Exquisite Oberoi International School nr Oberoi Mall Film City Rd goregaon East mum 400063 Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1690,30917,7,3,3,522,614117.6471
1511,Oberoi Splendor ,Oberoi Splendor Nr Oberoi International School Jvlr Andheri East Mumbai 400060 Jogeshwari East Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1377,24183,26,3,2,333,391764.7059
1512,Unnamed Property,Parel South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,410,36585,9,1,2,150,176470.5882
1513,Unnamed Property,Sector 23 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,680,8382,1,2,2,57,67058.82353
1514,Bhagwati Bellavista 2 ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,690,7246,2,1,2,50,58823.52941
1515,Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,1180,8898,12,3,3,105,123529.4118
1516,Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,650,13076,7,2,2,85,100000
1517,Acme Ozone ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Built Up Area,1004,12051,17,2,2,121,142352.9412
1518,Strawberry Sandstone ,Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,635,8661,4,1,2,55,64705.88235
1519,Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1000,8000,2,2,2,80,94117.64706
1520,Lokhandwala Riviera Tower ,Lokhandwala Kandivali East Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,1000,16700,20,2,2,167,196470.5882
1521,Acme Ozone ,Near Khewara Circle Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1100,11500,23,2,2,130,152941.1765
1522,Unnamed Property,Shirley Rajan Road Bandra West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,600,50000,1,1,2,300,352941.1765
1523,Unnamed Property,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,700,17857,9,2,2,125,147058.8235
1524,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1427,13314,24,2,2,190,223529.4118
1525,Hiranandani Silver Link ,Silverlink Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,450,20444,2,1,2,92,108235.2941
1526,JP North Celeste ,123 Vinay Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,700,9285,2,1,2,65,76470.58824
1527,Nahar Lilium Lantana ,Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1250,18720,21,2,2,234,275294.1176
1528,Paradigm EL Signora ,Oshiwara Mumbai,Oshiwara Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,850,26117,7,2,2,222,261176.4706
1529,Unnamed Property,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1978,55611,5,4,3,1100,1294117.647
1530,Satyam Imperial Heights ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,2400,23125,39,4,4,555,652941.1765
1531,White City ,Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460,26086,9,1,2,120,141176.4706
